filename,mean_grain_diameter_px,grain_count,dominant_colors,color_percentages
28.jpg,9.19,43,"white, black, gray","white: 89.1%, black: 3.6%, gray: 3.1%"
280.jpg,138.26,2,"black, black, gray","black: 29.2%, black: 27.8%, gray: 25.0%"
281.jpg,250.58,1,"black, black, gray","black: 34.2%, black: 26.2%, gray: 23.4%"
282.jpg,60.58,3,"white, black, gray","white: 47.6%, black: 23.8%, gray: 15.8%"
283.jpg,252.71,1,"blue, gray, black","blue: 45.7%, gray: 22.6%, black: 15.0%"
284.jpg,250.87,1,"black, black, brown","black: 30.8%, black: 23.3%, brown: 20.4%"
285.jpg,250.59,1,"black, black, gray","black: 29.6%, black: 27.7%, gray: 22.8%"
286.jpg,244.99,1,"black, black, gray","black: 39.8%, black: 36.5%, gray: 13.6%"
287.jpg,125.68,2,"black, black, gray","black: 51.2%, black: 20.8%, gray: 12.0%"
288.jpg,234.84,1,"gray, black, gray","gray: 30.6%, black: 27.0%, gray: 23.3%"
289.jpg,19.3,19,"brown, gray, gray","brown: 25.4%, gray: 21.3%, gray: 20.9%"
29.jpg,8.12,64,"white, black, gainsboro","white: 87.5%, black: 4.4%, gainsboro: 3.4%"
290.jpg,48.38,2,"gray, gray, black","gray: 28.8%, gray: 24.5%, black: 20.4%"
291.jpg,47.27,66,"black, gray, black","black: 36.7%, gray: 34.8%, black: 13.8%"
292.jpg,352.29,1,"black, black, black","black: 34.9%, black: 29.3%, black: 25.1%"
293.jpg,115.17,2,"white, black, brown","white: 48.0%, black: 23.3%, brown: 20.1%"
294.jpg,268.62,1,"white, black, black","white: 42.0%, black: 33.2%, black: 15.7%"
295.jpg,66.02,3,"white, black, black","white: 60.3%, black: 15.9%, black: 13.8%"
296.jpg,63.47,5,"white, gray, gray","white: 30.6%, gray: 20.4%, gray: 19.9%"
297.jpg,54.28,7,"black, maroon, gray","black: 29.4%, maroon: 19.5%, gray: 18.9%"
298.jpg,59.76,6,"black, black, gray","black: 40.9%, black: 29.3%, gray: 11.5%"
299.jpg,72.41,5,"black, black, gray","black: 29.9%, black: 28.1%, gray: 18.1%"
3.jpg,767.87,1,"black, black, black","black: 36.1%, black: 26.1%, black: 23.7%"
30.jpg,8.07,18,"white, white, black","white: 93.1%, white: 3.7%, black: 1.4%"
300.jpg,69.98,4,"white, gray, gray","white: 55.3%, gray: 14.9%, gray: 14.4%"
301.jpg,347.36,1,"black, black, gray","black: 35.4%, black: 23.4%, gray: 16.4%"
302.jpg,352.59,1,"black, black, black","black: 25.7%, black: 25.0%, black: 24.5%"
303.jpg,352.59,1,"black, black, black","black: 48.3%, black: 25.2%, black: 16.3%"
304.jpg,352.59,1,"black, black, black","black: 29.6%, black: 24.2%, black: 23.5%"
305.jpg,64.06,6,"black, black, gray","black: 39.0%, black: 27.3%, gray: 19.5%"
306.jpg,352.58,1,"black, black, black","black: 41.4%, black: 26.6%, black: 18.3%"
307.jpg,353.47,1,"black, black, black","black: 39.6%, black: 27.2%, black: 17.9%"
308.jpg,370.16,1,"black, black, black","black: 40.3%, black: 26.8%, black: 18.9%"
309.jpg,353.49,1,"black, black, black","black: 35.8%, black: 28.4%, black: 19.9%"
31.jpg,90.76,4,"black, black, white","black: 29.2%, black: 27.6%, white: 19.3%"
