filename,mean_grain_diameter_px,grain_count,dominant_colors,color_percentages
233.jpg,30.88,28,"brown, black, gray","brown: 30.1%, black: 25.0%, gray: 22.1%"
234.jpg,43.46,18,"orange, brown, brown","orange: 27.6%, brown: 26.0%, brown: 19.0%"
235.jpg,24.83,36,"brown, orange, maroon","brown: 30.9%, orange: 29.1%, maroon: 17.6%"
236.jpg,23.6,43,"brown, black, orange","brown: 24.5%, black: 23.5%, orange: 23.0%"
237.jpg,97.89,6,"black, gray, gray","black: 26.8%, gray: 26.3%, gray: 19.1%"
238.jpg,87.14,7,"maroon, brown, navy","maroon: 36.0%, brown: 25.7%, navy: 20.3%"
239.jpg,20.82,42,"gray, gray, black","gray: 29.6%, gray: 21.2%, black: 17.8%"
24.jpg,12.16,43,"gray, white, gray","gray: 41.2%, white: 24.7%, gray: 21.0%"
240.jpg,25.91,14,"white, gray, gray","white: 70.2%, gray: 12.8%, gray: 8.5%"
241.jpg,8.54,50,"white, brown, gray","white: 70.8%, brown: 15.9%, gray: 8.4%"
242.jpg,10.47,129,"gray, gray, gray","gray: 29.3%, gray: 29.2%, gray: 17.9%"
243.jpg,98.11,6,"black, maroon, brown","black: 31.0%, maroon: 30.8%, brown: 19.2%"
244.jpg,46.46,15,"maroon, brown, orange","maroon: 35.4%, brown: 32.5%, orange: 20.4%"
245.jpg,23.6,34,"gray, gray, gray","gray: 38.2%, gray: 27.2%, gray: 23.9%"
246.jpg,15.68,76,"gray, gray, gray","gray: 29.7%, gray: 19.9%, gray: 19.0%"
247.jpg,73.85,10,"brown, maroon, orange","brown: 28.5%, maroon: 25.3%, orange: 19.0%"
248.jpg,13.51,75,"gray, gray, brown","gray: 29.1%, gray: 25.2%, brown: 23.5%"
249.jpg,26.95,43,"brown, orange, gray","brown: 25.7%, orange: 23.5%, gray: 22.3%"
25.jpg,8.4,84,"gray, gray, white","gray: 26.4%, gray: 23.7%, white: 20.0%"
250.jpg,26.95,43,"brown, orange, gray","brown: 25.7%, orange: 23.5%, gray: 22.3%"
251.jpg,72.91,12,"black, brown, maroon","black: 29.6%, brown: 25.2%, maroon: 19.0%"
252.jpg,20.1,83,"gray, gray, gray","gray: 34.8%, gray: 22.1%, gray: 20.7%"
253.jpg,13.79,44,"gray, white, orange","gray: 27.5%, white: 25.0%, orange: 23.6%"
254.jpg,9.76,10,"white, white, orange","white: 37.7%, white: 28.7%, orange: 18.4%"
255.jpg,9.19,333,"gray, gray, gray","gray: 30.2%, gray: 28.0%, gray: 20.0%"
256.jpg,29.76,32,"black, gray, brown","black: 24.7%, gray: 22.9%, brown: 21.7%"
257.jpg,514.57,1,"black, maroon, white","black: 32.5%, maroon: 24.3%, white: 19.6%"
258.jpg,41.33,11,"brown, gray, gray","brown: 25.5%, gray: 24.6%, gray: 20.5%"
259.jpg,56.54,15,"gray, black, brown","gray: 28.0%, black: 25.1%, brown: 23.3%"
26.jpg,8.43,142,"gray, gray, gray","gray: 41.4%, gray: 32.2%, gray: 14.5%"
260.jpg,73.93,9,"maroon, brown, brown","maroon: 29.5%, brown: 24.1%, brown: 20.3%"
261.jpg,68.62,16,"brown, brown, orange","brown: 33.7%, brown: 27.7%, orange: 19.0%"
262.jpg,37.25,19,"gray, black, gray","gray: 26.8%, black: 22.4%, gray: 20.7%"
263.jpg,21.66,38,"black, brown, gray","black: 44.4%, brown: 25.7%, gray: 12.5%"
264.jpg,12.44,83,"gray, gray, gray","gray: 24.6%, gray: 23.6%, gray: 23.0%"
265.jpg,24.22,28,"orange, brown, maroon","orange: 34.0%, brown: 25.0%, maroon: 18.0%"
266.jpg,21.71,37,"brown, gray, gray","brown: 35.1%, gray: 28.6%, gray: 13.9%"
267.jpg,15.4,63,"gray, brown, maroon","gray: 29.8%, brown: 26.0%, maroon: 17.9%"
268.jpg,15.32,116,"gray, black, gray","gray: 31.9%, black: 27.0%, gray: 22.0%"
269.jpg,23.72,41,"maroon, gray, gray","maroon: 30.2%, gray: 28.6%, gray: 15.6%"
27.jpg,9.83,365,"gray, gray, gray","gray: 25.5%, gray: 23.1%, gray: 18.8%"
270.jpg,40.18,29,"brown, maroon, brown","brown: 26.1%, maroon: 25.6%, brown: 24.3%"
271.jpg,25.22,25,"black, brown, white","black: 35.2%, brown: 21.1%, white: 15.3%"
272.jpg,16.82,53,"gray, brown, gray","gray: 33.2%, brown: 26.0%, gray: 17.9%"
273.jpg,19.19,26,"gray, gray, brown","gray: 56.7%, gray: 12.6%, brown: 11.4%"
274.jpg,17.79,42,"white, white, brown","white: 25.0%, white: 23.0%, brown: 17.6%"
275.jpg,564.06,1,"brown, brown, maroon","brown: 32.4%, brown: 29.8%, maroon: 18.5%"
276.jpg,23.93,41,"gray, brown, brown","gray: 29.0%, brown: 21.4%, brown: 18.9%"
277.jpg,7.78,80,"gray, gray, gray","gray: 31.2%, gray: 30.7%, gray: 20.6%"
278.jpg,68.86,9,"brown, black, gray","brown: 32.9%, black: 22.0%, gray: 17.2%"
279.jpg,0,0,"gray, gray, gray","gray: 30.0%, gray: 23.6%, gray: 22.3%"
28.jpg,17.74,44,"gray, gray, gray","gray: 24.8%, gray: 23.5%, gray: 20.1%"
280.jpg,4.16,8,"gray, gray, white","gray: 36.9%, gray: 25.7%, white: 21.0%"
281.jpg,688.51,1,"brown, maroon, gray","brown: 34.2%, maroon: 22.0%, gray: 18.7%"
282.jpg,13.27,123,"gray, gray, gray","gray: 25.9%, gray: 22.1%, gray: 18.8%"
283.jpg,12.78,66,"gray, gray, brown","gray: 35.9%, gray: 22.9%, brown: 17.8%"
284.jpg,13.32,103,"brown, gray, gray","brown: 29.3%, gray: 28.5%, gray: 23.4%"
285.jpg,11.39,79,"gray, gray, gray","gray: 23.7%, gray: 22.7%, gray: 20.5%"
286.jpg,245.57,2,"brown, black, white","brown: 34.0%, black: 29.9%, white: 18.4%"
